編號,AREA,112迄今各里人口數按年齡分_cleaned_65_up,Area-2
"26",88673.5926,"940",18657.6536632171
"26",143400.96223,"1534",7.5289339907
"51",2285205.74934,"577",235598.105573702
"51",410550.98448,"723",867.6666062847
"51",335756.65206,"1267",321420.369869877
"51",455999.64089,"1383",15753.8819682552
"51",351647.0518,"1168",342173.91720612
"51",336189.87048,"773",287403.632180436
"51",103981.67735,"997",103583.479632855
"51",193605.09909,"998",8258.917712247
"51",123867.877,"1537",110909.784640501
"51",162668.34903,"1130",11711.0496722138
"51",256806.85867,"1150",1774.5239114547
"53",103981.67735,"997",411.3651039582
"53",193605.09909,"998",25696.1548757234
"53",162668.34903,"1130",140420.468763724
"53",233582.67783,"1458",9883.2005971042
"53",256806.85867,"1150",5431.6648076698
"53",115600.16975,"1075",97924.0590934318
"53",177516.47998,"1260",83678.3275411231
"53",266355.51765,"1323",129632.734954101
"53",624124.59742,"1693",8435.4867302845
"54",177516.47998,"1260",13557.7449818209
"54",384414.93988,"1363",16149.7422844805
"54",266355.51765,"1323",84868.1172392322
"54",210692.49856,"1111",157426.901509951
"54",624124.59742,"1693",53019.203813469
"54",172876.6207,"1314",172898.442409861
"54",426872.10885,"1376",143537.164957639
"46",623233.11733,"1266",890.6979714537
"46",206995.70996,"1259",4160.7536207642
"46",624124.59742,"1693",154233.891565116
"46",218475.70711,"688",155785.117621536
"46",318182.64937,"2181",64.208787078
"46",144222.05814,"927",105179.858692434
"46",238085.53667,"1777",194827.079435808
"46",150653.11301,"1365",126435.458111544
"46",75837.13979,"903",75846.3059018925
"46",204254.03535,"1189",102199.800546474
"46",178898.44907,"995",167041.109401933
"46",3791315.61453,"187",71481.1738009974
"46",191317.42851,"984",16793.8250769191
"58",573336.38886,"1287",95960.9578378997
"58",451986.91201,"832",247652.65561185
"58",455999.64089,"1383",256215.784575819
"58",204668.98754,"966",56525.2052133977
"58",359304.56224,"716",96205.138078732
"58",127970.6475,"1360",80470.4867128168
"58",233582.67783,"1458",35072.0855856297
"58",623233.11733,"1266",21943.2253370185
"85",197612.98064,"1508",93929.2672374479
"85",355211.79026,"1683",244774.246202701
"85",90273.12686,"1057",29824.5768179985
"85",220380.18171,"726",220407.395511118
"85",130248.72985,"1361",61923.9748207732
"85",91190.58768,"852",51917.9213268262
"85",136157.20051,"1465",136174.05128198
"85",61254.3354,"843",61261.8739889876
"85",54333.04623,"690",54339.7119096626
"85",88871.86538,"705",52475.2512917336
"85",73986.44604,"592",73995.6636991677
"85",200100.64787,"2009",148714.864269314
"85",131992.418,"1059",39627.6813422383
"85",150358.92657,"1227",139998.954684321
"85",121859.43471,"1695",22239.3854338029
"85",211158.25874,"1471",13139.9184101385
"85",167013.39411,"1642",6780.7232503944
"87",156106.0818,"2167",83580.6463816342
"87",227394.43709,"2062",22016.9403177343
"87",210204.74703,"1850",53406.0654314181
"87",187401.92585,"1847",179431.521815523
"87",90273.12686,"1057",4466.4662590045
"87",130248.72985,"1361",60544.9818969363
"87",216773.63136,"2045",216799.839958352
"87",147623.44254,"1880",67914.873681115
"87",167020.49693,"1078",12273.275812313
"87",598405.69163,"810",477890.618201605
"87",148934.26202,"1488",148952.27659895
"87",91190.58768,"852",36444.6521699341
"87",111930.76138,"1084",67981.7242835116
"87",131992.418,"1059",1724.7518516949
"87",248819.25466,"1433",32677.9071435341
"48",359304.56224,"716",54097.1233845299
"48",127970.6475,"1360",47515.9356863947
"48",233582.67783,"1458",132824.255515474
"48",623233.11733,"1266",556103.819879849
"48",159094.29486,"1455",13.3436716637
"48",266355.51765,"1323",51785.9961079424
"48",624124.59742,"1693",169077.14573021
"56",455999.64089,"1383",60571.1982902148
"56",351647.0518,"1168",9517.4835646832
"56",204668.98754,"966",148169.257010421
"56",193605.09909,"998",159674.284082958
"56",233582.67783,"1458",55832.0935496997
"56",115600.16975,"1075",17690.5567877133
"44",3719649.02643,"1330",186636.260495609
"44",2379478.81125,"1323",52874.7246595987
"44",670330.95587,"1800",89134.8291499139
"44",162636.38632,"1131",149394.588816034
"44",157222.28534,"1333",157239.900501976
"44",360527.00264,"1593",197765.972900484
"44",219117.4451,"1686",34167.2633182136
"44",365946.50686,"995",412.9446066134
"25",598405.69163,"810",10755.5832083334
"25",131992.418,"1059",57756.8626721318
"25",150358.92657,"1227",10378.5739413645
"25",121859.43471,"1695",99635.0256040506
"25",211158.25874,"1471",3859.4161622802
"25",167013.39411,"1642",160104.507555268
"25",107611.61415,"1224",107624.766406495
"25",255707.49392,"739",126878.538778097
"25",522869.1974,"1196",63476.8638423935
"25",177985.36401,"1551",161507.261779044
"25",131046.04408,"1535",131062.155101189
"25",137545.14444,"1893",137561.959856221
"25",74458.61273,"1112",74349.4886173491
"25",82527.15627,"823",79934.2323678685
"25",173207.70235,"1436",106928.2775931
"25",117749.75989,"1272",85559.4597769301
"25",118110.13849,"1347",113778.991869852
"25",110916.17153,"1156",17978.9462028369
"25",73196.56071,"907",14253.4224676592
"50",502239.99137,"1028",28823.5237930329
"50",715079.20044,"497",14898.3898852989
"50",4193077.06362,"1175",63691.340895684
"50",573336.38886,"1287",192070.892742738
"50",728705.26191,"1621",514592.540104781
"50",373742.21364,"1594",6948.7111029154
"50",359304.56224,"716",177255.232578716
"50",159094.29486,"1455",4161.1004937324
"50",560834.47371,"1970",769.2371168975
"86",2312865.94483,"1374",83564.1709176218
"86",351941.38046,"1189",163610.977750194
"86",57078.19748,"1048",1837.3833892521
"86",358238.05265,"1196",191626.983004393
"86",129637.09509,"1063",129652.529037571
"86",156106.0818,"2167",29636.4162047672
"86",210204.74703,"1850",156823.734427636
"86",299349.04352,"1836",198835.172632881
"86",147623.44254,"1880",79726.1643377696
"86",164703.76603,"1328",55940.5475620305
"86",167020.49693,"1078",154766.974061088
"86",598405.69163,"810",21995.3784273309
"86",82431.48648,"850",63680.9935430817
"86",111930.76138,"1084",22786.0497338636
"86",59326.91073,"754",30410.1437477156
"86",81502.91639,"1150",15724.3964172301
"89",248819.25466,"1433",11233.2327999064
"89",82929.72024,"909",2162.2412544214
"89",108911.68646,"1258",45752.0854108467
"89",110822.30914,"912",46929.9423389433
"89",168195.98612,"1669",163538.209828567
"89",407157.39335,"1063",10471.4231701535
"89",132619.76841,"1691",66428.3124561787
"89",90034.67729,"1550",90045.1510227183
"89",500822.83838,"2205",500636.686567141
"89",522869.1974,"1196",48063.7595932242
"89",746751.84398,"483",357069.550722846
"89",215709.03307,"1418",205185.518952562
"89",559313.58438,"1346",295382.016844445
"89",294420.91102,"2075",2457.0679781316
